seller,units_sold,avg_selling_price,avg_market_value,avg_profit
manheim auctions inc/ars,1,21500.0,25400.0,-3900.0
southlake motorcars,4,44700.0,48600.0,-3900.0
tuttle click ford lincoln mercury,1,34000.0,37900.0,-3900.0
carlos jeep rental,3,23233.33,27133.33,-3900.0
cars direct inc,2,32325.0,36225.0,-3900.0
warren henry jaguar,1,16500.0,20400.0,-3900.0
autonation toyota scion las vegas,4,5800.0,9681.25,-3881.25
lendmark financial services/hickory,1,600.0,4475.0,-3875.0
405 motors,2,4250.0,8112.5,-3862.5
porsche of san diego,2,38500.0,42350.0,-3850.0
ron lewis chevrolet,2,13650.0,17500.0,-3850.0
key & v auto sales,1,1400.0,5250.0,-3850.0
volvo car finance na,1,6600.0,10450.0,-3850.0
automotive remarketing management service,1,10500.0,14350.0,-3850.0
k c motors,2,9200.0,13050.0,-3850.0
makarios auto sales llc,1,425.0,4275.0,-3850.0
central auto sales,1,9350.0,13200.0,-3850.0
day and night auto llc,2,2150.0,5987.5,-3837.5
auto finance center,3,10466.67,14291.67,-3825.0
alliant credit union,2,7750.0,11575.0,-3825.0
gta inc,1,2600.0,6425.0,-3825.0
grand auto exchange inc,6,13516.67,17320.83,-3804.17
onesource/team chevrolet at north point,1,8100.0,11900.0,-3800.0
1428879 alberta ltd,1,10200.0,14000.0,-3800.0
platinum finance,1,3800.0,7600.0,-3800.0
ozark motor sports,1,10400.0,14200.0,-3800.0
anderson pont buick olds gmc inc,1,23400.0,27200.0,-3800.0
richard karr motors,1,25000.0,28800.0,-3800.0
ed hicks infiniti,1,12700.0,16500.0,-3800.0
the world of cars & boats inc,1,3600.0,7375.0,-3775.0
geovista credit union,2,1675.0,5450.0,-3775.0
centerone/southeast toyota distributors,4,22000.0,25775.0,-3775.0
felton holly kia,1,8000.0,11750.0,-3750.0
tlmbc motors inc,1,7900.0,11650.0,-3750.0
shawnee mission ford inc,1,12500.0,16250.0,-3750.0
mobile car buyer,1,10500.0,14250.0,-3750.0
repo remarketing / educational employees cu,1,6800.0,10550.0,-3750.0
wallet wise wheels inc,1,7000.0,10750.0,-3750.0
autoplex 528 llc,1,9500.0,13250.0,-3750.0
aloha pacific fcu,2,6250.0,9987.5,-3737.5
southern financial services,5,8480.0,12210.0,-3730.0
fred beans subaru,2,17225.0,20950.0,-3725.0
titlemax/horizon city tx1,1,3100.0,6825.0,-3725.0
mid western car sales,1,800.0,4500.0,-3700.0
garage el cano,1,17100.0,20800.0,-3700.0
us financial auto credit,1,3600.0,7300.0,-3700.0
