make,model,units_sold,avg_selling_price,avg_market_value,avg_profit,avg_margin_pct
Infiniti,G37 Convertible,20,20177.5,20635,-457.5,-3.76
Chevrolet,Silverado 2500HD Classic,65,14178.46,14633.85,-455.38,-11.26
Chevrolet,Malibu Classic,44,3000,3452.27,-452.27,-42.84
chrysler,twn/cntry,2,412.5,862.5,-450,-108.64
land rover,rrs,1,12000,12450,-450,-3.75
Chevrolet,Silverado 3500,38,14230.26,14675.66,-445.39,-21.38
Toyota,Avalon Hybrid,40,25607.5,26052.5,-445,-2.05
Infiniti,M45,67,8035.82,8471.64,-435.82,-14.21
Jaguar,XK,87,44767.24,45198.28,-431.03,-1.02
BMW,5 Series Gran Turismo,204,35146.45,35573.04,-426.59,-1.84
Land Rover,LR4,175,39025.14,39445.14,-420,-1.14
Lincoln,MKC,20,32957.5,33375,-417.5,-1.67
BMW,X6,263,38960.08,39374.14,-414.07,-1.67
Mercedes-Benz,M-Class,1908,20064.27,20477.1,-412.83,-6.26
GMC,Safari Cargo,2,2050,2462.5,-412.5,-20.33
Land Rover,Range Rover Evoque,151,35891.39,36302.65,-411.26,-1.54
Kia,Rondo,163,3596.47,4006.9,-410.43,-40.14
Chevrolet,Captiva Sport,1016,13514.23,13921.68,-407.45,-6.29
Kia,Borrego,81,8722.22,9127.16,-404.94,-9.16
Audi,S8,19,44476.32,44878.95,-402.63,0.15
Mercedes-Benz,SLK-Class,321,19180.53,19582.48,-401.95,-5.95
mercedes-b,sl55,1,18500,18900,-400,-2.16
ford,bronco,1,1100,1500,-400,-36.36
Ford,E-250,2,1000,1400,-400,-105
Porsche,911,229,69089.74,69489.08,-399.34,-1.7
mazda,cx-7,48,4928.54,5327.08,-398.54,-14.39
Mercedes-Benz,E-Class,3884,21500.11,21898.23,-398.12,-193.51
oldsmobile,alero,10,787.5,1185,-397.5,-80.27
Mazda,Mazdaspeed Mazda6,14,6075,6469.64,-394.64,-25.57
Lexus,ES 300h,72,29472.92,29863.89,-390.97,-1.72
Buick,Verano,382,13118.98,13507.53,-388.54,-5.07
chevrolet,3500,2,5650,6037.5,-387.5,-4.8
Dodge,Ram Pickup 1500,2234,9631.98,10009.17,-377.18,-19.91
Audi,Cabriolet,1,800,1175,-375,-46.88
Lincoln,MKZ,1704,17374.65,17749.52,-374.87,-5.05
Ford,Fusion Energi,51,20842.16,21215.69,-373.53,-4.58
Toyota,Land Cruiser,108,22075.46,22443.75,-368.29,-29.34
maserati,quattroporte,3,28400,28766.67,-366.67,-2.48
Honda,accord,23,4054.35,4420.65,-366.3,-27.75
Dodge,Magnum,375,4271.73,4637.47,-365.73,-32.97
Mercedes-Benz,S-Class,1511,27932.02,28296.99,-364.97,-11.27
Mercedes-Benz,GLK-Class,857,25231.98,25594.57,-362.59,-2.01
Hyundai,Accent,2039,7604.33,7966.81,-362.48,-12.44
Chrysler,200,4047,11139.05,11497.68,-358.63,-7.65
Mercedes-Benz,GL-Class,1061,29637.71,29994.04,-356.33,-2.71
Mercury,Mariner Hybrid,23,6008.7,6364.13,-355.43,-8.4
Mercedes-Benz,420-Class,1,1400,1750,-350,-25
mercedes,300e,3,300,650,-350,-131.94
dot,durango,1,500,850,-350,-70
chevrolet,lumina,1,600,950,-350,-58.33
toyota,matrix,5,5260,5605,-345,-12.93
Ford,F-450 Super Duty,77,27432.78,27777.6,-344.82,-3.52
Mitsubishi,Lancer Sportback,39,10323.08,10667.31,-344.23,-7.5
Mercury,Monterey,48,2091.67,2434.9,-343.23,-57.95
Mercury,Montego,93,3023.12,3362.63,-339.52,-52.49
Chevrolet,TrailBlazer EXT,190,3409.74,3747.37,-337.63,-30.38
Mazda,B-Series Pickup,9,1211.11,1547.22,-336.11,-83.61
Ford,Crown Victoria,140,3831.61,4161.07,-329.46,-33.1
Buick,Century,227,1506.28,1829.3,-323.02,-74.16
gmc,1500,9,2133.33,2455.56,-322.22,-72.69
Toyota,Prius c,117,12835.47,13155.13,-319.66,-3.39
Ram,C/V Cargo Van,43,7300,7617.44,-317.44,-9.64
Mercedes-Benz,190-Class,3,708.33,1025,-316.67,-64.37
Land Rover,Range Rover Sport,749,36011.01,36326.5,-315.49,-1.37
Lexus,GX 460,257,37226.81,37539.3,-312.49,-1.13
Lexus,IS 250 C,125,25960,26270.4,-310.4,-1.71
Lexus,LS 460,574,29057.3,29367.25,-309.95,-1.83
Hyundai,Elantra GT,246,12948.78,13257.32,-308.54,-11.09
Audi,Q7,480,26346.88,26654.32,-307.45,-2.45
BMW,X3,1250,17416.06,17717.92,-301.86,-4.75
volkswagen,beetle,3,9800,10100,-300,-4.93
mitsubishi,endeavor,13,9492.31,9788.46,-296.15,-5.52
Buick,Lucerne,496,6521.39,6816.08,-294.69,-12.91
Ford,Escape Hybrid,134,9134.25,9428.92,-294.66,-13.23
Lexus,RX 450h,178,30355.62,30649.16,-293.54,-1.58
Dodge,Dart,1028,11653.75,11945.23,-291.49,-6.41
Mercedes-Benz,C-Class,5397,17635.53,17924.37,-288.84,-3.83
suzuki,sx4,2,2275,2562.5,-287.5,-58.21
Mercedes-Benz,SL-Class,435,31152.07,31438.22,-286.15,-2.06
Ford,Transit Connect,700,11208.57,11494.36,-285.79,-12.93
buick,regal,5,10585,10870,-285,-47.58
Bentley,Continental Flying Spur,31,58451.61,58735.48,-283.87,-0.59
Chevrolet,Corvette Stingray,113,55252.21,55535.4,-283.19,-3.75
Chrysler,300,3902,12871.64,13153.72,-282.08,-12.87
Lincoln,MKX,1160,22634.88,22915.58,-280.7,-2.69
Mazda,6,28,9298.21,9576.79,-278.57,-11.1
GMC,Sierra 2500HD,453,25616.89,25894.81,-277.92,-3.53
Mitsubishi,Mirage,211,7926.54,8202.73,-276.18,-11.42
oldsmobile,silhouette,3,766.67,1041.67,-275,-50.42
chevrolet,uplandr,1,900,1175,-275,-30.56
Chevrolet,malibu,97,7131.96,7406.44,-274.48,-11.12
Dodge,Durango,2060,14524.66,14798.83,-274.18,-25.4
Volkswagen,Touareg,338,13752.51,14026.26,-273.74,-9.92
Buick,LaCrosse,1188,12651.94,12923.3,-271.35,-11.29
Audi,allroad quattro,35,3195.71,3465,-269.29,-47.28
Chevrolet,Monte Carlo,398,2537.31,2806.47,-269.16,-44.68
Pontiac,G5,138,3479.35,3748.19,-268.84,-22.39
Volkswagen,Jetta GLI,49,18077.55,18345.92,-268.37,-2.19
chrysler,twn&country,7,682.14,950,-267.86,-65.36
Ford,Explorer,7707,18209.51,18476.48,-266.97,-9.73
land rover,discovery,19,2675,2938.16,-263.16,-39.75
Toyota,Yaris,1225,7504.72,7765.9,-261.18,-11.8
Hyundai,Sonata,6912,10853.28,11113.31,-260.03,-7.92
Ford,E-150,5,960,1220,-260,-74.43
Chevrolet,Classic,56,1597.77,1857.14,-259.38,-73.52
Chevrolet,Sonic,1783,9139.55,9398.71,-259.16,-7.2
Mitsubishi,Diamante,28,908.04,1166.96,-258.93,-56.25
Lincoln,Mark LT,76,12615.79,12874.34,-258.55,-4.99
MINI,Cooper Clubman,359,12260.79,12518.31,-257.52,-7.89
mazda,mazda5,20,3587.5,3845,-257.5,-13.43
Cadillac,STS,303,7085.64,7341.34,-255.69,-21.56
chevrolet,uplander,11,2740.91,2995.45,-254.55,-12.85
Ford,Fusion Hybrid,642,16406.93,16661.37,-254.44,-4.53
Ford,Edge,5915,18743.49,18997.05,-253.56,-3.18
Pontiac,Grand Prix,1048,2529.34,2781.92,-252.58,-43.37
Cadillac,DTS,509,7241.49,7493.71,-252.22,-17.61
Cadillac,CTS-V,41,24875.61,25126.83,-251.22,-1.86
Ram,2500,924,33156.79,33406.82,-250.03,-1.92
chevrolet,cobalt,2,2250,2500,-250,-14.81
Chevrolet,Malibu,7028,9115.98,9365.89,-249.92,-10.15
