make,model,units_sold,avg_odometer,avg_selling_price,avg_market_value,avg_profit
Acura,Ilx,1,106756.0,14200.0,15250.0,-1050.0
Chevrolet,Volt,1,106591.0,14700.0,7375.0,7325.0
Acura,Tl,5,106285.0,14180.0,15120.0,-940.0
Acura,Rdx,1,106203.0,13800.0,12950.0,850.0
Chevrolet,Traverse,5,105928.0,14580.0,14740.0,-160.0
Volvo,Xc70,1,105731.0,16000.0,15250.0,750.0
Infiniti,Qx,1,105652.0,29800.0,28300.0,1500.0
Cadillac,Sts-V,1,105628.0,15000.0,13250.0,1750.0
Audi,S4,1,105627.0,13900.0,12800.0,1100.0
Lincoln,Mark Lt,7,105607.0,15357.14,14421.43,935.71
Nissan,Maxima,1,105508.0,14000.0,13500.0,500.0
Audi,S5,2,105104.0,17300.0,18000.0,-700.0
Porsche,911,4,104983.0,15825.0,14600.0,1225.0
Toyota,Camry Hybrid,3,104710.0,14266.67,12933.33,1333.33
Honda,S2000,1,104675.0,15000.0,13650.0,1350.0
Lexus,Is 250,4,104590.0,13912.5,12687.5,1225.0
Jaguar,Xf,6,104243.0,14625.0,14766.67,-141.67
Ford,Mustang,2,103956.0,13850.0,13125.0,725.0
Pontiac,G8,2,103805.0,13850.0,11675.0,2175.0
Nissan,370z,2,103485.0,14200.0,14350.0,-150.0
Honda,Accord Crosstour,1,103331.0,13700.0,12850.0,850.0
Lexus,Gs 450h,1,103235.0,15000.0,15050.0,-50.0
Chevrolet,Corvette,6,103066.0,16783.33,18475.0,-1691.67
Audi,A4,2,102984.0,14450.0,13350.0,1100.0
Porsche,Panamera,1,102594.0,35750.0,41400.0,-5650.0
Nissan,Pathfinder,2,102536.0,14800.0,16475.0,-1675.0
Infiniti,Fx45,1,102532.0,14100.0,13300.0,800.0
Chrysler,300,3,102358.0,15600.0,15650.0,-50.0
Chevrolet,Colorado,1,101949.0,14400.0,16050.0,-1650.0
Cadillac,Cts,1,101853.0,13800.0,13050.0,750.0
Nissan,Murano,1,101614.0,15000.0,18050.0,-3050.0
Lexus,Ls 600h L,2,101607.0,20825.0,22650.0,-1825.0
Lexus,Es 350,1,101605.0,16800.0,15400.0,1400.0
Kia,Sorento,1,101323.0,14300.0,13400.0,900.0
Bmw,750li,1,101300.0,27250.0,33900.0,-6650.0
Lexus,Rx 400h,2,100839.0,15000.0,12650.0,2350.0
Acura,Rl,2,100717.0,15650.0,14525.0,1125.0
Infiniti,M37,1,100631.0,18400.0,17850.0,550.0
Infiniti,Fx,1,100368.0,15800.0,21700.0,-5900.0
Jeep,Commander,1,100090.0,16300.0,17600.0,-1300.0
