seller,sale_year,units_sold,total_revenue,avg_profit
lendmark financial services/albany,2015,1,1000.0,425.0
lendmark financial services/charlotte,2015,1,3800.0,425.0
lendmark financial services/chesapeake,2015,3,16700.0,-5933.33
lendmark financial services/conyers,2015,1,2100.0,-2475.0
lendmark financial services/covington,2014,1,3000.0,-2375.0
lendmark financial services/covington,2015,10,27400.0,-690.0
lendmark financial services/cumming,2015,1,6900.0,-200.0
lendmark financial services/dondalk,2015,1,4600.0,-550.0
lendmark financial services/elizabeth city,2015,1,600.0,-650.0
lendmark financial services/florence,2015,5,24900.0,320.0
lendmark financial services/hickory,2015,1,600.0,-3875.0
lendmark financial services/hiram,2015,1,1300.0,-3950.0
lendmark financial services/orlando,2015,1,2600.0,-2050.0
lendmark financial services/pensacola,2014,2,8700.0,450.0
lendmark financial services/pensacola,2015,1,4100.0,-900.0
lendmark financial services/raleigh,2014,1,4500.0,125.0
lendmark financial services/raleigh,2015,4,9800.0,93.75
lendmark financial services/rocky mount,2015,2,6200.0,-1050.0
lendmark financial services/villa rica,2014,1,950.0,375.0
lenny genzale auto sales,2014,2,26400.0,-275.0
lenny genzale auto sales,2015,30,348400.0,-377.5
lens auto brokerage inc,2015,1,4900.0,-950.0
leo martin chevrolet inc,2015,4,74200.0,-893.75
leo venters motors inc,2014,1,25000.0,-200.0
leo venters motors inc,2015,4,49000.0,556.25
leonardtown ford inc,2015,4,13300.0,-62.5
les automobiles julien inc,2015,1,6300.0,175.0
les automobiles n c,2015,2,12500.0,1012.5
les automobiles p w inc,2015,1,4300.0,-275.0
les freres valdivieso inc,2015,1,1950.0,-450.0
les voitures usagees de mont laurier inc,2015,1,21700.0,1300.0
les wenning motors inc,2015,1,19100.0,600.0
lester glenn buick,2014,81,710350.0,62.04
lester glenn buick,2015,1163,8069575.0,-127.45
lester glenn ford,2014,8,69700.0,218.75
lester glenn ford,2015,66,457300.0,-26.52
let'em ride autos incorporated,2015,1,500.0,-175.0
leto auto exchange,2014,6,45100.0,-1412.5
leto auto exchange,2015,4,78600.0,-3187.5
leviners auto sales llc,2014,1,3700.0,-275.0
levittown ford llc,2014,3,15100.0,66.67
levittown ford llc,2015,34,352350.0,-415.44
lewis auto sales inc,2015,1,2800.0,300.0
lewis motors,2014,1,3200.0,475.0
lewis page auto brokers,2014,7,24500.0,228.57
lewis page auto brokers,2015,4,37400.0,-181.25
lewisville mitsubishi,2014,7,51100.0,760.71
lewisville mitsubishi,2015,3,65000.0,1858.33
lexdan automotive inc,2014,2,2350.0,-737.5
lexington auto store llc,2014,1,2800.0,1075.0
lexington car company llc,2015,1,20000.0,-100.0
lexon motors,2015,3,39000.0,-2491.67
lextechs of atlanta,2015,4,61400.0,-525.0
lexus el cajon,2015,2,39000.0,1100.0
lexus financial services,2014,280,7153500.0,-410.0
lexus financial services,2015,3610,93073200.0,-322.35
lexus financial services/torrance,2015,7,170800.0,500.0
lexus north shore,2015,4,40000.0,-1375.0
lexus of ann arbor,2015,2,14600.0,-2062.5
lexus of annapolis,2014,8,90200.0,-496.88
lexus of annapolis,2015,121,1303750.0,175.41
lexus of bellevue,2014,17,151200.0,580.88
lexus of bellevue,2015,135,1405600.0,1190.74
lexus of bridgewater,2015,1,4700.0,-250.0
lexus of brookfield,2014,2,20800.0,-3450.0
lexus of brookfield,2015,1,67400.0,-5600.0
lexus of chandler,2014,1,16500.0,-950.0
lexus of chandler,2015,5,75750.0,690.0
lexus of clearwater,2014,17,70200.0,14.71
lexus of clearwater,2015,50,313600.0,-412.0
lexus of cool springs,2015,8,168600.0,-1331.25
lexus of edison,2015,26,380250.0,-764.42
lexus of edmonton,2015,1,29500.0,1200.0
lexus of glendale,2015,2,56500.0,-3250.0
lexus of greenville,2014,8,106500.0,-509.38
lexus of greenville,2015,56,516800.0,308.93
lexus of henderson,2014,16,140750.0,4.69
lexus of henderson,2015,33,530050.0,693.18
lexus of knoxville,2014,16,182600.0,98.44
lexus of knoxville,2015,16,445100.0,196.88
lexus of las vegas,2014,15,99400.0,186.67
lexus of las vegas,2015,48,672000.0,-728.65
lexus of lehigh valley,2014,2,33700.0,-150.0
lexus of lincoln,2014,2,16100.0,925.0
lexus of lincoln,2015,19,201200.0,1096.05
lexus of louisville,2015,1,27100.0,-3100.0
lexus of marin,2014,3,16200.0,583.33
lexus of marin,2015,9,56250.0,-419.44
lexus of merrillville,2014,7,63200.0,-396.43
lexus of north miami,2014,1,25500.0,-1400.0
lexus of north miami,2015,131,3237450.0,-541.03
lexus of omaha,2014,6,73400.0,391.67
lexus of omaha,2015,61,559450.0,725.82
lexus of orange park,2015,6,174900.0,-2050.0
lexus of orland,2014,4,53600.0,-181.25
lexus of palm beach,2014,16,64300.0,-312.5
lexus of palm beach,2015,93,466300.0,-520.16
lexus of pembroke pines,2014,1,32500.0,300.0
lexus of pembroke pines,2015,270,6295700.0,-267.31
lexus of pleasanton,2015,49,301550.0,421.43
lexus of riverside,2014,2,60000.0,2550.0
lexus of riverside,2015,4,128500.0,675.0
lexus of rockville,2014,1,3600.0,-2375.0
lexus of rockville,2015,70,433000.0,-457.14
lexus of san diego,2014,5,28050.0,340.0
lexus of san diego,2015,4,119500.0,1725.0
lexus of santa fe,2015,1,18400.0,4350.0
lexus of seattle llc,2014,1,5700.0,1175.0
lexus of seattle llc,2015,20,131600.0,426.25
lexus of serramonte,2014,5,30900.0,-780.0
lexus of serramonte,2015,6,106950.0,-2312.5
lexus of silver spring,2014,2,31200.0,2300.0
lexus of silver spring,2015,109,552100.0,-289.22
lexus of south atlanta,2015,15,156800.0,753.33
lexus of southampton,2014,2,47000.0,-500.0
lexus of southampton,2015,9,195300.0,-858.33
lexus of stevens creek,2014,22,135050.0,436.36
lexus of stevens creek,2015,55,760825.0,1045.0
lexus of tacoma at fife,2014,12,115900.0,725.0
lexus of tacoma at fife,2015,124,1593750.0,875.0
lexus of tampa bay,2014,13,49000.0,-94.23
lexus of tampa bay,2015,71,543000.0,-166.2
lexus of thousand oaks,2014,2,61500.0,-1450.0
lexus of thousand oaks,2015,19,593400.0,471.05
lexus of toledo,2015,1,33600.0,400.0
lexus of tucson,2014,5,100750.0,20.0
lexus of tucson,2015,2,88500.0,850.0
lexus of valencia,2014,5,57750.0,690.0
lexus of valencia,2015,8,125600.0,834.38
lexus of warwick,2015,9,112150.0,-638.89
lexus of watertown,2015,132,1067350.0,-356.44
lexus of wayzata,2014,5,42900.0,-30.0
lexus of woodland hills,2015,6,152550.0,616.67
lexus rivercenter,2014,8,122000.0,-493.75
lexus rivercenter,2015,5,59000.0,505.0
lg & e company credit union,2015,1,8400.0,-1250.0
lgb's sales auto  truck  & motorcycle,2014,1,900.0,525.0
lh mellon financial inc dba/title loans,2015,1,1300.0,-625.0
lhm fleet lease,2015,1,9500.0,-250.0
lia honda,2014,2,30000.0,275.0
lia honda,2015,24,366800.0,-243.75
lia hyundai,2014,2,10250.0,-725.0
liberal auto,2014,3,26400.0,541.67
liberal auto,2015,5,107100.0,1870.0
liberal finance service,2015,10,41900.0,-850.0
liberty auto city inc,2014,1,6150.0,1425.0
liberty auto city inc,2015,20,330800.0,298.75
liberty auto exchange inc,2014,1,1900.0,-25.0
liberty bay auto center inc.,2015,1,10200.0,375.0
liberty chevrolet,2014,9,31800.0,-477.78
liberty chevrolet inc,2015,7,24200.0,-282.14
liberty fleet and rental,2015,2,22900.0,-75.0
liberty ford,2014,4,2850.0,-668.75
liberty ford,2015,16,34750.0,-1289.06
liberty gmc,2014,6,68725.0,137.5
liberty gmc,2015,9,128550.0,-238.89
liberty hyundai inc,2015,2,2050.0,-1437.5
liberty hyundai llc,2015,4,16100.0,-1950.0
liberty station inc,2014,1,2500.0,500.0
liberty subaru inc,2014,2,5350.0,-1737.5
liberty subaru inc,2015,3,30000.0,-658.33
libertyville chevrolet inc,2014,1,900.0,-325.0
libertyville chevrolet inc,2015,6,44050.0,-562.5
lic motors inc,2015,2,23600.0,-4125.0
liccardi motors llc,2015,2,42200.0,2050.0
lienemann auto sales inc,2015,1,10600.0,1500.0
life credit union,2015,1,6900.0,-75.0
lifetime auto sales and service inc,2015,1,30500.0,-1300.0
lifetime motorcars inc,2015,1,9500.0,-425.0
lighthouse acceptance corp,2015,2,21500.0,-675.0
lighthouse auto sales,2014,1,2500.0,1100.0
lighthouse financial group inc/tampa,2015,1,2750.0,750.0
lightning auto group llc,2015,2,46300.0,200.0
like new autos llc,2015,1,14000.0,1500.0
lilliston enterprises inc,2014,1,6300.0,1650.0
lilliston enterprises inc,2015,10,155900.0,-697.5
lilliston ford inc,2014,2,10500.0,87.5
lilliston ford inc,2015,6,80350.0,358.33
lime rock motors llc,2015,1,5200.0,325.0
lincoln financial services,2014,20,67450.0,-510.0
lincoln financial services,2015,45,178250.0,-156.67
lincoln of olympia,2015,7,105500.0,121.43
lindsay acura,2015,1,6500.0,1075.0
lindsay honda,2015,8,40000.0,-303.13
lindsay lexus of alexandria,2014,5,66350.0,-2175.0
lindsay lexus of alexandria,2015,54,1024700.0,-794.44
lindsay volkswagen of dulles,2015,8,133650.0,106.25
linton motorsport  inc.,2015,2,20700.0,3025.0
linus cadillac buick gmc,2015,26,329300.0,478.85
lions auto sales inc,2014,1,3000.0,-975.0
lipton toyota,2015,22,272000.0,-884.09
liquidation llc,2014,16,46450.0,-1450.0
liquidation llc,2015,100,459500.0,-1175.75
liquidations de camions brodo,2015,1,6600.0,-1075.0
litchfield auto sales,2015,3,50500.0,-2033.33
lithia chevrolet of redding,2014,1,2850.0,-950.0
lithia chrys jeep dodge of bryan college station,2015,9,36900.0,-536.11
lithia chrysler dodge of eureka,2015,4,30900.0,-56.25
lithia chrysler jeep dodge,2014,1,250.0,-150.0
lithia chrysler jeep dodge,2015,3,46900.0,200.0
lithia chrysler jeep dodge of eugene,2015,3,7100.0,-175.0
lithia chrysler jeep dodge of eureka,2015,1,11600.0,1500.0
lithia chrysler jeep dodge of roseburg,2015,4,11400.0,-768.75
lithia chrysler jeep dodge of tri-cities,2015,10,70400.0,-262.5
lithia chrysler jeep dodge ram of wasilla,2014,1,7700.0,-4100.0
lithia dodge of las cruces,2015,1,7200.0,-1200.0
lithia ford lincoln of fresno,2014,8,15600.0,81.25
lithia ford lincoln of fresno,2015,8,42150.0,-365.63
lithia hyundai of fresno,2014,6,39700.0,237.5
lithia hyundai of fresno,2015,23,90900.0,136.96
lithia hyundai of odessa,2014,4,26850.0,-2181.25
lithia nissan,2015,1,3600.0,550.0
lithia nissan of fresno,2014,10,48200.0,95.0
lithia nissan of fresno,2015,20,95350.0,433.75
lithia subaru of fresno,2014,9,39600.0,86.11
lithia subaru of fresno,2015,1,15500.0,-400.0
lithia toyota of abilene,2014,2,20500.0,-3862.5
lithia toyota of abilene,2015,10,62600.0,-655.0
lithia toyota of odessa,2014,2,11400.0,-1812.5
lithia toyota of odessa,2015,2,14700.0,-687.5
lithia volkswagen of des moines audi des moines,2014,1,24600.0,400.0
lithia volkswagen of des moines audi des moines,2015,3,62300.0,300.0
lito's auto sales llc,2015,1,2000.0,25.0
little apple toyota honda,2015,2,21000.0,-212.5
little cypress motor co,2014,1,7500.0,-425.0
little europe auto,2015,1,850.0,150.0
little hawaii auto sales,2015,2,4600.0,-3687.5
little motors,2014,2,1750.0,-2050.0
livermore honda,2015,1,23000.0,-500.0
livermore toyota and livermore scion,2014,19,122450.0,609.21
livermore toyota and livermore scion,2015,26,160200.0,675.0
livingston motor company,2015,1,19900.0,1200.0
livonia mitsubishi,2015,2,26000.0,2250.0
llerena auto sales corp,2014,1,10200.0,850.0
lloyd's plan inc,2015,1,600.0,-475.0
lloyds rental & sales,2015,2,12300.0,262.5
lm auto incorporado,2015,1,4400.0,-1425.0
lmg auto brokers llc,2015,2,47900.0,350.0
ln auto center inc,2014,1,27750.0,-1650.0
lnm enterprises llc,2015,1,8300.0,-225.0
loaning america,2015,1,5500.0,-425.0
lobel financial corp,2014,68,256400.0,-448.9
lobel financial corp,2015,356,1394675.0,-569.31
lobo motors,2014,2,3450.0,-175.0
location sauvageau inc,2015,4,54100.0,1181.25
lodi toyota lodi scion,2014,1,1000.0,-1775.0
lodi toyota lodi scion,2015,1,4600.0,1850.0
loe's auto sales,2015,1,1600.0,-825.0
loeber motors inc,2014,4,17600.0,-656.25
loehmann blasius chevrolet inc,2014,7,128050.0,685.71
loehmann blasius chevrolet inc,2015,38,688050.0,535.53
loftus auto city inc,2014,1,600.0,-725.0
logans used cars,2015,1,700.0,-125.0
logistics leasing,2014,2,8900.0,350.0
logistics leasing,2015,98,876050.0,235.2
logix federal credit union,2014,2,19700.0,-1325.0
logix federal credit union,2015,13,139500.0,-1180.77
lokey motor company,2015,105,1947000.0,162.62
lokey nissan,2014,1,11800.0,-850.0
lokey nissan,2015,10,115700.0,237.5
lombard auto exchange inc,2014,4,19150.0,293.75
lombard auto exchange inc,2015,3,54300.0,1650.0
lombard toyota scion,2014,7,37900.0,-1221.43
lombard toyota scion,2015,2,15700.0,1175.0
lompoc honda,2015,1,20250.0,-2450.0
lon motors,2014,1,1400.0,-725.0
lon motors,2015,8,20800.0,303.13
london auto sales inc,2014,1,300.0,-600.0
london auto sales inc,2015,1,1000.0,-125.0
london deal a wheel,2014,2,3600.0,-487.5
lone star autoplex,2015,1,22750.0,1550.0
lone star chevrolet,2015,2,2500.0,-1712.5
lone star ford,2015,7,75050.0,-982.14
lone star liquidation/twisted performance,2014,1,40700.0,1300.0
lone star liquidation/twisted performance,2015,15,188900.0,-1136.67
lonestar remarketing llc,2015,4,9300.0,-1156.25
lonestar truck & trailer,2014,1,9000.0,-1400.0
lonestar truck & trailer,2015,2,36800.0,3325.0
long beach bmw & long beach mini,2014,3,16100.0,-2375.0
long beach bmw & long beach mini,2015,3,53500.0,-2766.67
long island auto recovery inc,2015,1,8200.0,-1275.0
long island motor sales llc,2015,2,23300.0,1037.5
long island motorcars inc,2015,4,65300.0,550.0
long mcarthur inc,2015,4,101450.0,-1162.5
longhorn motorsports,2015,3,37700.0,66.67
longmont auto wholesale,2015,2,81200.0,1900.0
longs auto place inc,2014,4,17900.0,237.5
longs auto place inc,2015,3,45800.0,-750.0
longstreet auto,2015,1,20000.0,-1800.0
loomis motorsports,2015,1,36000.0,800.0
loop auto sales and service llc,2015,1,28000.0,-5300.0
lorenzo bomnin chevrolet,2014,13,39300.0,-923.08
lorenzo bomnin chevrolet,2015,11,95850.0,-179.55
los angeles japanese auto corp,2014,1,10200.0,-200.0
los angeles japanese auto corp,2015,8,104100.0,-346.88
los angeles police fcu,2015,3,29600.0,-558.33
los jefes auto sales,2014,1,5000.0,-925.0
lotus auto sales,2014,1,6000.0,975.0
lotus of las vegas,2015,11,282700.0,572.73
lou bachrodt chevrolet,2014,1,1100.0,-750.0
lou bachrodt chevrolet,2015,2,31100.0,-537.5
lou fusz buick gmc,2015,2,16200.0,-2062.5
lou fusz ford inc,2015,1,30000.0,700.0
lou fusz kia,2015,3,61900.0,-816.67
lou fusz mitsubishi st peters,2014,1,7750.0,-1550.0
lou fusz mitsubishi st peters,2015,4,24350.0,1481.25
lou fusz motor co,2015,25,283500.0,550.0
lou fusz motor co of kirkwood inc,2015,4,48900.0,118.75
lou fusz subaru st peters,2015,1,11300.0,-1300.0
lou sobh honda,2015,3,19650.0,-133.33
louchem fcu,2015,1,2700.0,-625.0
louie herron auto sales,2015,9,171000.0,1238.89
louie herron chrysler dodge jeep ram,2015,2,23200.0,-925.0
louies car clinic inc,2015,1,13700.0,-700.0
louisville medical center fcu,2014,1,8000.0,225.0
love auto group inc,2015,1,1100.0,-925.0
love chrysler dodge jeep llc,2015,3,19400.0,-666.67
love field chrysler dodge jeep ram,2015,15,124100.0,283.33
loving care cars,2015,3,4600.0,0.0
low book sales,2014,3,4600.0,-758.33
low book sales,2015,10,83600.0,-1730.0
low country credit,2015,2,3800.0,-3062.5
low country financial,2015,3,12600.0,-641.67
low gos used cars,2015,24,101800.0,416.67
low low miles llc,2014,1,7400.0,225.0
low low miles llc,2015,19,292850.0,-6.58
lowery brothers motors inc,2014,4,54700.0,1281.25
lowery brothers motors inc,2015,23,369800.0,1038.04
loyal auto sales,2014,1,900.0,-275.0
lph automotive,2015,3,62000.0,1516.67
lrd autos,2015,1,2600.0,100.0
lscg fund 19 llc,2015,1,11400.0,1200.0
lsk automotive llc,2015,1,10200.0,-450.0
lsl auto sales llc,2014,1,21400.0,0.0
lt motors auto sales inc,2015,1,13000.0,-450.0
ltd automotive llc,2015,6,71000.0,416.67
ltd ford lincoln,2014,1,4300.0,2150.0
ltd ford lincoln,2015,6,128600.0,516.67
lto financial llc,2015,1,2000.0,-1050.0
lts nationwide,2015,2,31500.0,-1300.0
lucas chevrolet geo inc,2015,24,151950.0,141.67
lucas dodge inc,2014,1,8000.0,600.0
lucas dodge inc,2015,15,105000.0,96.67
lucas motor company,2014,4,16950.0,-668.75
lucas motor company,2015,30,220650.0,-291.67
lucky chevrolet gmc company,2015,1,8300.0,3075.0
lucky imports,2014,5,41500.0,1400.0
lucky imports,2015,49,312700.0,494.39
lucky seven auto group inc,2015,7,145300.0,-2321.43
lucky's auto sales,2015,2,1400.0,-962.5
luis rujel auto sales inc,2015,3,36000.0,-333.33
luis rujel auto sales y/o oriental bank,2015,2,23000.0,-2125.0
lujacks northpark auto plaza,2014,9,232800.0,-955.56
lujacks northpark auto plaza,2015,15,325800.0,-653.33
luluat al doha used cars & spare parts tr.,2015,1,5000.0,1575.0
lumberton auto world llc,2014,1,19000.0,-450.0
lumberton auto world llc,2015,2,16200.0,2762.5
lumberton honda,2014,2,1200.0,12.5
lumberton honda,2015,1,3400.0,1125.0
luna financial,2015,6,31600.0,629.17
lundy's  inc,2015,1,19600.0,1600.0
lupient chevrolet,2015,1,5700.0,-950.0
lupyak auto sales llc,2015,1,8000.0,-700.0
lute riley honda,2014,6,7150.0,-537.5
lute riley honda,2015,12,68600.0,-1066.67
luther bloomington hyundai,2014,13,47300.0,96.15
luther brookdale chevrolet,2014,7,36400.0,25.0
luther brookdale chevrolet,2015,61,417500.0,649.18
luther brookdale chrysler jeep dodge,2014,1,1850.0,425.0
luther brookdale chrysler jeep dodge,2015,11,105750.0,1034.09
luther brookdale honda,2014,8,25100.0,-443.75
luther brookdale honda,2015,9,65450.0,272.22
luther brookdale toyota scion,2014,5,35900.0,285.0
luther brookdale toyota scion,2015,26,160150.0,882.69
luther brookdale volkswagen,2014,2,8600.0,-450.0
luther brookdale volkswagen,2015,6,38000.0,70.83
luther ford lincoln,2015,1,27900.0,-1800.0
luther honda of st cloud,2015,2,18000.0,512.5
luther hopkins honda,2014,12,31900.0,300.0
luther hudson chevrolet gmc,2014,8,48050.0,40.62
luther hudson chevrolet gmc,2015,23,158100.0,525.0
luther westside volkswagen,2015,2,9200.0,1150.0
luther white bear acura,2014,4,10600.0,218.75
luther white bear acura,2015,13,43550.0,913.46
luvic auto sales inc,2014,1,4000.0,-150.0
luxano motors,2015,1,2400.0,-450.0
luxor auto wholesale,2015,1,21000.0,-700.0
luxor motor cars inc,2015,2,27200.0,750.0
luxury & economy cars,2015,2,32000.0,25.0
luxury auto collection llc,2015,2,73500.0,1550.0
luxury auto group,2014,6,12250.0,-745.83
luxury auto group,2015,5,70150.0,-4735.0
luxury auto group llc,2015,1,87500.0,-500.0
luxury autohaus inc,2014,1,2500.0,100.0
luxury autos of great neck llc,2015,4,63750.0,462.5
luxury cars inc,2014,1,11000.0,350.0
luxury cars inc,2015,24,380200.0,383.33
luxury cars of lexington,2015,29,280700.0,437.07
luxury cars of smithtown inc,2014,1,15600.0,1100.0
luxury cars of smithtown inc,2015,43,1020450.0,-337.79
luxury cars outlet,2014,4,17550.0,-1037.5
luxury fleet leasing llc,2015,12,212950.0,308.33
luxury fleet serv inc,2014,117,1861900.0,-16.45
luxury fleet serv inc,2015,20,296950.0,617.5
luxury imports,2014,1,3500.0,-825.0
luxury imports auto sales inc,2014,2,2000.0,-487.5
luxury imports auto sales inc,2015,2,13800.0,-262.5
luxury imports inc,2014,2,3100.0,-687.5
luxury imports inc,2015,1,1800.0,-25.0
luxury imports of nashville  llc,2015,2,12300.0,-2275.0
luxury imports/bmw of bowling green,2015,2,49700.0,-250.0
luxury line auto,2015,4,23000.0,381.25
luxury motor car company,2014,2,24900.0,-1275.0
luxury motor car company,2015,120,1428500.0,43.96
luxury motors,2015,1,7100.0,-275.0
luxury motors credit inc,2014,1,3700.0,50.0
luxury of queens inc,2015,6,68850.0,-579.17
luxury select auto sales,2015,1,2100.0,450.0
luxury sports & imports,2015,7,116800.0,-300.0
luxury sports auto sales,2014,1,13300.0,-6350.0
lxm motorcars,2015,9,102900.0,761.11
lyle pearson company inc,2015,2,42700.0,500.0
lynchburg mazda,2015,3,17000.0,100.0
lynchburg nissan inc,2015,2,13500.0,-312.5
lynchs horter chevrolet,2014,3,7800.0,100.0
lyndora auto sales,2014,1,12900.0,-50.0
lyndora auto sales,2015,1,375.0,-3700.0
lynn douglas motor co  inc,2014,7,77400.0,582.14
lynn douglas motor co  inc,2015,6,101000.0,216.67
lynn hines used cars,2015,8,113500.0,309.38
lynnes hyundai llc,2015,4,35300.0,-1050.0
lynnes nissan city inc,2014,2,26700.0,-550.0
lynnes nissan city inc,2015,7,143400.0,946.43
lynnes nissan west inc,2015,1,9500.0,325.0
lynnes subaru inc,2015,1,7300.0,-575.0
lynnwood honda,2014,5,20050.0,-180.0
lynnwood honda,2015,1,4700.0,-675.0
m & a auto sales,2014,1,1850.0,-350.0
m & b auto sales llc,2014,1,3000.0,-675.0
m & b motors,2015,2,24800.0,-2125.0
m & d international group inc,2015,1,13700.0,1100.0
m & e motors inc,2015,1,24200.0,-5500.0
m & g cars unlimited llc,2015,3,70500.0,-1758.33
m & g motor sales inc,2015,3,18250.0,1033.33
m & i imports inc,2015,2,19000.0,-975.0
m & j auto sales llc,2015,1,19800.0,2100.0
m & l motor co inc,2015,8,125600.0,1306.25
m & m auto brokers inc,2014,1,13300.0,-1400.0
m & m auto brokers inc,2015,11,204450.0,518.18
m & m auto sale inc,2015,1,35500.0,1500.0
m & m brothers car sales inc,2015,26,215950.0,-67.31
m & m cars trucks vans inc,2014,1,2900.0,1125.0
m & m cars trucks vans inc,2015,2,14000.0,-487.5
m & m motors,2015,1,21000.0,-2500.0
m & n auto sales,2015,2,6800.0,575.0
m & n financial,2015,148,673850.0,-601.18
m & n financing,2015,1,5900.0,-1575.0
m & r auto sales,2014,4,15700.0,-287.5
m & r auto sales,2015,26,192600.0,-20.19
m & s auto group inc,2015,1,8500.0,-675.0
m & t bank,2014,1,9300.0,-1950.0
m & t bank,2015,9,70400.0,-1994.44
m & t investments,2015,1,13100.0,200.0
m & t motors,2014,1,1300.0,-100.0
m & w inc,2015,1,2200.0,50.0
m and m auto sales,2015,15,132100.0,508.33
m and m enterprises,2014,6,64850.0,1408.33
m and m enterprises,2015,16,168450.0,371.88
m and t bank,2014,11,143300.0,-2065.91
m and t bank,2015,128,1268750.0,-1068.55
m b turnersville llc,2015,17,232100.0,104.41
m f enterprise llc,2014,4,41600.0,-81.25
m f enterprise llc,2015,13,198600.0,57.69
m financial inc,2014,2,13500.0,862.5
m h trading,2015,1,3000.0,800.0
m j l leasing inc,2015,1,18000.0,1300.0
m j m auto sales,2015,1,350.0,-775.0
m l bradford enterprises,2015,2,37900.0,-300.0
m l p auto sales,2015,1,12400.0,-200.0
m l sim,2014,25,202450.0,763.0
m l sim,2015,193,2076050.0,672.15
m m m auto sales llc,2015,12,28450.0,-1647.92
m motors llc,2015,1,12500.0,850.0
m n cars,2014,1,5500.0,-2900.0
m n cars,2015,2,12300.0,487.5
m y c motors inc,2015,1,800.0,-325.0
m&m certified serv corp,2015,1,300.0,-1450.0
m&n finance,2015,3,10200.0,-1241.67
m.g. dyess inc,2015,1,5500.0,-2325.0
m/m auto sales,2015,1,1400.0,550.0
m/m ent,2015,2,24700.0,1362.5
m/r motors inc,2014,5,60400.0,1085.0
m/r motors inc,2015,41,508250.0,46.34
m3j trading company llc,2015,1,4000.0,-1275.0
m5 automotive group inc,2014,1,7300.0,1550.0
m5 automotive group inc,2015,1,28500.0,800.0
mac churchhill auto mall,2014,21,177700.0,-152.38
mac haik ford lincoln,2014,1,18500.0,300.0
mac haik ford lincoln,2015,1,33900.0,1700.0
mac haik's southway ford,2014,9,27550.0,-277.78
mac haik's southway ford,2015,3,89900.0,-2983.33
mac motorsports,2015,2,3450.0,175.0
mac pac motors international limited,2014,2,3500.0,-600.0
macatawa auto & finance company,2015,3,49300.0,-33.33
mach 1 automotive,2015,1,5700.0,775.0
mackey auto broker,2015,2,41700.0,-1250.0
macon deals inc,2014,5,41700.0,-240.0
macon deals inc,2015,4,37300.0,512.5
macs auto & equipment sales inc,2014,7,22450.0,-317.86
madera chevrolet oldsmobile toyota,2015,2,27650.0,-525.0
madera chrysler jeep dodge,2014,1,15000.0,-1800.0
madigans auto sales llc,2015,2,52100.0,1000.0
madill chevrolet-buick  inc.,2014,1,11600.0,-150.0
madison avenue assoc for jefferson comm fcu,2015,1,900.0,25.0
madison capital llc,2015,2,36400.0,-1725.0
madison county transit,2015,4,17450.0,750.0
madison honda,2015,14,30050.0,-560.71
madison ridge auto sales,2014,1,5400.0,-2475.0
magic auto center of reseda,2015,1,6300.0,275.0
magic motors,2014,2,11900.0,937.5
magna auto rentals inc,2015,8,134400.0,-275.0
magnetic automobile and svcs llc,2014,1,3300.0,-1050.0
magnetic enterprises inc,2015,1,2000.0,-2400.0
magnum auto sales,2015,1,10000.0,200.0
magnum auto sales and service  llc,2015,3,32400.0,-108.33
magnum motors,2014,3,29300.0,1441.67
magnum motors,2015,6,30500.0,-125.0
magnum motors inc,2015,2,42000.0,2350.0
magnum motors llc,2015,1,14100.0,-3150.0
magnussens lexus of fremont,2014,7,23550.0,985.71
magnussens lexus of fremont,2015,24,164450.0,460.42
maguire & sons auto brokers,2015,1,20300.0,9950.0
maguire automotive llc,2014,1,11500.0,200.0
maguire automotive llc,2015,3,77500.0,-550.0
maher chevrolet inc,2014,1,7500.0,825.0
maher chevrolet inc,2015,31,776400.0,1237.1
mahoneys auto mall inc,2015,7,159050.0,-78.57
main auto llc,2014,6,81800.0,-312.5
main auto llc,2015,18,409750.0,-365.28
main line honda,2014,1,11600.0,-350.0
main line honda,2015,9,108100.0,-180.56
main line mutual llc,2015,1,10500.0,-400.0
main street auto sales,2014,2,5900.0,-200.0
main street autos inc,2015,1,15200.0,-3250.0
main street motors,2014,4,14100.0,-675.0
main street motors,2015,3,41200.0,100.0
main street motorsports,2014,1,1300.0,-525.0
maine auto credit,2014,1,1600.0,-100.0
maine auto credit,2015,2,4900.0,-475.0
mainstreet financial group,2015,1,1100.0,-250.0
mainstreet motor company,2015,1,17700.0,1850.0
majestic auto sale & wholesale corp,2015,2,64500.0,1150.0
majestic auto sales inc,2014,2,2100.0,-1300.0
majestic repossession & transportation corp,2015,1,1250.0,-700.0
majesty auto sales corp,2015,1,31500.0,-1600.0
major car inc,2015,1,14000.0,-1000.0
major motor cars inc,2015,6,50650.0,-675.0
major world chevrolet llc,2015,1,1700.0,-275.0
makarios auto sales llc,2014,1,425.0,-3850.0
makenzy auto sales inc,2015,1,1450.0,200.0
makka auto sale,2015,1,9300.0,-75.0
maklins motor sales,2014,1,2700.0,-1225.0
malakin motors llc,2015,2,3200.0,0.0
malco enterprise of nevada/dba budget,2015,46,858950.0,-616.3
malfara's automotive,2014,1,26000.0,10200.0
malkoon motors  inc.,2015,1,25750.0,-50.0
mall chevrolet inc,2015,2,41500.0,-1175.0
mall of ga chrysler dodge jeep,2015,9,186900.0,563.89
mall of georgia mazda,2014,14,42300.0,250.0
mall of georgia mazda,2015,83,374200.0,435.24
