seller,sale_year,units_sold,total_revenue,avg_profit
a and d motors llc,2014,1,42000.0,-500.0
a and d motors llc,2015,9,204500.0,755.56
a and j auto sales,2015,1,4900.0,-4800.0
a automotive inc auto sales,2015,1,16500.0,-450.0
a automotive llc,2015,1,12500.0,-150.0
a b c auto credit inc,2014,7,78100.0,235.71
a better way wholesale autos inc,2015,1,5000.0,-3975.0
a cars one,2015,1,4100.0,-700.0
a crivelli buick gmc inc,2015,3,62400.0,-700.0
a d autos,2015,2,46600.0,750.0
a ffordable cars,2015,1,2450.0,700.0
a g auto sales,2015,2,28750.0,-3200.0
a j dohmann chevrolet cadillac inc,2014,6,25000.0,-558.33
a k r auto sales,2014,1,400.0,-1225.0
a l financial,2014,4,20700.0,-950.0
a l financial,2015,34,179150.0,-364.71
a l financial corporation,2014,32,161500.0,-507.81
a l financial corporation,2015,178,1104700.0,-516.71
a line auto wholesale,2015,5,43800.0,-135.0
a line automotive mississauga co ltd,2014,1,2500.0,225.0
a m auto sales,2015,2,16400.0,537.5
a m automotive,2014,1,2400.0,-350.0
a n d automotive,2014,5,7450.0,-115.0
a plus auto llc,2014,5,9150.0,160.0
a plus auto outlet,2015,1,4600.0,1275.0
a plus auto sales & detailing llc,2015,1,400.0,-1550.0
a plus auto sales inc,2015,7,58300.0,-89.29
a plus fine cars,2015,1,29200.0,600.0
a plus imports,2015,2,18500.0,325.0
a plus motors,2015,1,33500.0,-100.0
a s auto sales,2015,3,37100.0,-1633.33
a select of orange inc,2015,1,10000.0,25.0
a to z liquidators inc,2014,1,3400.0,-1700.0
a to z liquidators inc,2015,2,5200.0,-1012.5
a town auto brokers,2014,4,41100.0,-206.25
a town auto brokers,2015,1,28200.0,-200.0
a v auto sales llc,2015,1,11800.0,850.0
a&a enterprise,2014,1,1000.0,200.0
a&a financial,2015,1,1450.0,-1175.0
a&c wholesale,2014,1,27000.0,-100.0
a&c wholesale,2015,6,62900.0,-279.17
a&e automotive llc,2015,1,24850.0,-1450.0
a&m finance,2015,1,8800.0,-825.0
a&r motors  llc,2015,10,95300.0,-665.0
a&r motors llc,2015,28,202100.0,98.21
a&r service center inc,2015,1,400.0,-1125.0
a&s1 imports llc,2014,1,600.0,-775.0
a+ autobrokers inc,2015,7,105000.0,321.43
a+ fcu,2015,1,2400.0,-4725.0
a+ oxxo,2014,1,12300.0,1200.0
a-1 auto,2015,1,5300.0,375.0
a-1 auto broker inc,2014,1,15500.0,2300.0
a-1 auto group llc,2015,1,2400.0,1100.0
a-1 auto sales llc,2015,1,15500.0,-950.0
a-4 sales llc,2014,1,2750.0,-625.0
a-l financial,2015,3,7300.0,-1058.33
a-l financial corp,2015,2,14500.0,0.0
a-l financial corporation,2014,1,8700.0,975.0
a-l financial corporation,2015,51,265800.0,-322.55
a-team auto sales llc,2015,1,3850.0,-525.0
a.l.a automobile,2014,1,2900.0,-300.0
a.n.a auto sales llc,2015,1,63500.0,500.0
a.t. trade,2015,1,9700.0,650.0
a/d bank repos,2014,5,32800.0,865.0
a/j automotive,2015,1,5400.0,-1100.0
a/k auto sales,2014,1,4900.0,-1950.0
a/k auto sales,2015,1,29700.0,1100.0
a/m custom auto sales inc,2015,1,4200.0,-1050.0
a1 auto,2015,1,3400.0,-975.0
a1 group inc,2015,2,34200.0,-3162.5
a1 plus auto center,2015,6,75750.0,329.17
a179,2015,1,5500.0,-225.0
a1a import export,2015,4,75100.0,-2575.0
a295,2015,1,7200.0,-750.0
a2z auto sales,2015,1,13900.0,-1200.0
aa auto rental,2015,1,7500.0,-325.0
aa auto sales & services llc,2015,1,3500.0,450.0
aaa auto wholesale ltd,2015,1,22000.0,-4900.0
aaa car rental inc,2014,1,8000.0,-1325.0
aaa car rental inc,2015,60,857550.0,1185.83
aaero sweet company,2014,282,2764900.0,781.12
aaero sweet company,2015,1313,18118475.0,1600.11
aaero sweet corporation,2015,454,5222950.0,1126.49
aarts enterprise inc,2014,3,42300.0,-483.33
aarts enterprise inc,2015,3,56000.0,-1366.67
aasl holding,2014,1,6000.0,-575.0
aastro autos of south florida inc,2014,2,1500.0,-450.0
aatc auto,2015,1,57700.0,800.0
ab autos,2015,1,7500.0,-2650.0
ab competition auto sales,2014,1,26300.0,1400.0
abab corportation,2015,6,73400.0,45.83
abbott automotive group inc,2015,1,3400.0,500.0
abc 2 z auto sales llc,2015,1,24700.0,-2100.0
abc auto sales,2015,1,3500.0,-1875.0
abc autos inc,2015,2,5900.0,225.0
abc hyundai,2014,2,25150.0,-1250.0
abc hyundai,2015,11,195350.0,-404.55
abc loan co of martinez llc,2015,2,6000.0,-1075.0
abc remarketing inc,2014,3,27200.0,-941.67
abel auto sale,2014,1,1000.0,-4100.0
aberdeen fcu,2015,4,35550.0,-381.25
